Rank,Name,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2023 (€),Revenue 2020 (€),Number of employees 2023,Number of employees 2020,Founding year
973,Covi,Italy,Manufacturing,150,35.7,"8,679,701","3,471,550",66,30,2008
974,Pace Automobili,Italy,Automotive,149.9,35.7,"4,579,400","1,832,829",3,2,2019
975,Hydro Pipe Solutions (HPS),France,Wholesale,149.8,35.7,"9,634,420","3,856,171",4,2,2020
976,Facility Management & Construction,Germany,Construction & Engineering,149.7,35.7,"34,810,738","13,942,784",111,90,2011
977,C.G.M. Gruppi Elettrogeni,Italy,Mechanical & Plant Engineering,149.7,35.7,"52,304,459","20,950,990",102,85,2001
978,Nanga Systems,Germany,IT & Software,149.2,35.6,"8,150,000","3,270,000",26,20,2014
979,R&K Ingenieure,Germany,Construction & Engineering,149.2,35.6,"13,686,740","5,493,336",51,16,2016
980,Values.Media,France,Advertising & Marketing,149.1,35.6,"16,639,210","6,680,655",54,33,1990
981,SVS,Italy,Construction & Engineering,149,35.5,"24,142,795","9,694,308",20,8,2016
982,Cohérence,France,Advertising & Marketing,149,35.5,"10,720,000","4,305,000",63,35,2015
983,Rocksteady Music School,UK,Education & Social Services,148.8,35.5,"15,899,277","6,190,861",336,200,2012
984,Semwerkt,Netherlands,Advertising & Marketing,148.6,35.5,"2,793,037","1,123,371",22,15,2014
985,Parinox,France,Wholesale,148.5,35.5,"8,182,326","3,292,533",42,20,2010
986,MultiBel,Netherlands,IT & Software,148.3,35.4,"4,283,673","1,725,544",26,11,1995
987,Aravati,France,Employment Services,148.2,35.4,"16,559,585","6,671,000",69,50,2004
988,COMAN Software,Germany,IT & Software,147.9,35.3,"2,487,113","1,003,374",27,17,2018
989,Soundtrack Technologies,Sweden,IT & Software,147.8,35.3,"23,967,820","10,718,595",84,69,2014
990,I-Tracing,France,IT & Software,147.6,35.3,"112,093,206","45,275,200",538,234,2005
991,Babylino Sensitive,Italy,Ecommerce,147.1,35.2,"7,046,107","2,851,844",8,4,2016
992,Flash Battery,Italy,Manufacturing,147,35.2,"34,375,250","13,916,578",108,81,2020
993,Adopt Parfums,France,Retail,147,35.2,"118,250,786","47,880,145",590,520,1986
994,Skills,France,Employment Services,146.4,35.1,"28,711,555","11,654,138",200,100,2011
995,IMT Partners,France,Employment Services,146.3,35,"26,697,986","10,839,978",23,12,2013
996,ROUVY,Czech Republic,IT & Software,146.3,35,"10,621,046","4,058,291",102,38,2013
997,Tappx,Spain,Advertising & Marketing,146,35,"18,831,108","7,656,269",82,45,2013
998,Ottica Lipari,Italy,Retail,145.9,35,"4,315,021","1,754,459",10,11,2014
999,Sun Finance,Latvia,"Fintech, Financial Services & Insurance",145.9,35,"298,332,820","121,306,296","1,333",819,2017
"1,000",Deliverti,Italy,Ecommerce,145.9,35,"3,429,941","1,394,703",13,10,2016
